id,name,department,salary
1,Nichole Kane,Research,36877.25
2,Mark Stevens,Support,99319.98
3,Pamela Hart,Marketing,140491.65
4,Deanna Johnson,Sales,67356.06
5,Penny Adams,Research,67162.74
6,Andrew Choi,Marketing,92103.48
7,John Lowery,Marketing,149119.60
8,Michael Stephens,HR,44533.43
9,Jonathan Gibson,Research,149810.43
10,Beth Richards,Operations,95649.95
11,Sarah Mejia,Marketing,79909.68
12,Cheryl Francis,Finance,59029.04
13,Melissa Hernandez,Support,126355.76
14,Madison Morales,Sales,39646.55
15,Patrick Ross,HR,135101.50
16,Jimmy Robertson,Support,140074.55
17,Brittany Mcguire,Sales,102440.27
18,Joseph Vasquez,IT,63043.89
19,Mr. James Rivera,Sales,35368.11
20,Emma Fuller,Support,108290.20
21,Sarah Taylor,Marketing,33232.74
22,Jason Kennedy,HR,104661.65
23,Matthew Khan,Sales,89870.01
24,Heather Carey,Finance,141110.35
25,Kyle Sexton,Research,123429.42
26,Brianna Green,Sales,50660.57
27,James Waller,Operations,117330.49
28,Michael Lynch,Marketing,52340.33
29,Monica Henderson,Marketing,41425.54
30,Nicholas Salinas,IT,43735.61
31,Mitchell Paul,IT,48174.04
32,Erica White,Operations,128521.75
33,Jeffery White,Research,142726.46
34,Harold Griffin,Support,73381.82
35,William Savage,HR,101123.46
36,Rachel Carlson,HR,129294.88
37,Jacob Evans,Finance,69064.46
38,Bradley Turner,HR,98911.49
39,Joshua Cole,Marketing,81710.40
40,Michelle Kennedy,HR,53344.83
41,Brian Bradley,Finance,49050.94
42,Charles Gallagher,IT,94920.76
43,Brandon Gamble,HR,119462.65
44,Richard Roberts,Marketing,77382.87
45,Jacob Dickson,Operations,121687.40
46,Jennifer Smith,HR,118077.71
47,David Brown,Research,97106.61
48,David Miles,Support,49476.74
49,Maria Chambers,Sales,95508.68
50,Michelle Johns,Research,102735.63
51,Alexandria Powell,Sales,43232.89
52,Melissa Spencer,Research,52111.23
53,Dennis Solis,Sales,62038.01
54,Jeffrey Brown,Research,76361.49
55,April Williams,Sales,130215.69
56,David Thomas,Operations,130383.71
57,Mrs. Lindsay Martin MD,HR,33681.33
58,Christopher Kane,Marketing,117662.93
59,Brooke Allen,Support,144690.75
60,Cameron Warren,Support,60351.23
61,Debbie Schmidt,Operations,144121.36
62,Adam Harvey,Research,35702.81
63,Claire Hughes,Support,133992.58
64,Carla Hays,Marketing,71093.85
65,Jacob Juarez,Marketing,61572.82
66,Sara Rivera,Research,47601.08
67,Charles Gentry,Marketing,109025.11
68,Daniel Romero,Research,33633.12
69,Daniel Johnson,Research,93576.72
70,Holly Sanders,Support,40276.80
71,Aaron Dickerson,Marketing,90650.84
72,Shaun White,HR,99827.85
73,Lydia Estes,Research,104349.95
74,Jodi Santos,Research,101974.24
75,Julia Wiley,Operations,100529.84
76,Kyle Ramirez,Support,143459.68
77,Michael Rangel,Support,86275.94
78,Mrs. Jessica Park MD,Support,33854.70
79,Lauren Herrera,Operations,75140.75
80,Wendy Wood,Marketing,96505.15
81,Angela Young,Support,63766.55
82,Kelly Jennings,Marketing,137530.38
83,Jeremy Atkinson,Research,44527.42
84,Carrie Salazar,Sales,131717.17
85,Derek Brooks,HR,66613.51
86,Emily Dyer,Marketing,135513.73
87,Stephanie Marquez,Operations,94715.85
88,Michael Smith,Finance,68380.87
89,Troy Jones,Support,92980.05
90,Dr. Morgan Johnson DVM,Support,136497.60
91,Dylan Day,Research,110361.64
92,Daniel Lopez,HR,125970.06
93,James Valencia,IT,121632.28
94,Jacob Bradford,Sales,132086.24
95,Casey Miller,IT,114329.48
96,Holly Gilbert,Operations,86038.87
97,Julie Diaz,Finance,65063.18
98,Sandy Stuart,Support,135381.67
99,Robert Abbott,Operations,69143.10
100,Heidi Mccann,HR,127983.19
101,Robert Jones,Support,51584.83
102,Steven Petty,Research,47714.76
103,Andrea Macias,Support,50495.94
104,Kristi Ferguson,Sales,115911.86
105,Stephanie Le,Research,114602.42
106,Rebecca Sanders,IT,124923.83
107,Dana Brown,Research,78595.88
108,Douglas Schaefer,Support,42044.28
109,Debra Medina,Finance,71783.91
110,Tamara Jones,Sales,123189.63
111,Robert Cook,IT,43532.35
112,Lauren Mcguire,Marketing,55692.33
113,Alexander Huber,Sales,86890.83
114,Michael Flores,Operations,62267.18
115,Jeremy Dixon,Support,73846.79
116,John Bridges,Operations,130020.94
117,Randy Mills,HR,114342.10
118,Mr. James Jones,Support,44003.22
119,Joshua Burke,Marketing,67579.60
120,Jeffrey Martinez,Finance,95271.12
121,Billy Barker,Sales,83889.50
122,Sarah Lopez,IT,95171.22
123,Anna Williams,Operations,64965.88
124,Brooke Schmitt,Support,112844.63
125,Edward Grant,Support,122491.50
126,Joseph Coleman,HR,35176.72
127,James Moore,Marketing,103828.68
128,Eric Sullivan,Finance,84617.21
129,Howard Garrison,Operations,103284.00
130,Jennifer Gilbert,Research,54901.99
131,Robert Miller,Sales,90758.21
132,Michael Hansen,IT,144333.46
133,Christopher Wolfe,Finance,54588.33
134,Mr. Kenneth Stephens,HR,75684.52
135,Allison Stephenson,Marketing,84206.44
136,Gregory Montes,Finance,123108.15
137,Hannah Turner,Operations,37565.92
138,Heidi Vincent,Research,147800.53
139,Jessica Jenkins,HR,34730.59
140,Kathleen Yoder,Research,134531.99
141,Ryan Sullivan,Research,49055.68
142,Lorraine Anderson,Support,104997.46
143,Nicholas Hicks,Finance,51555.41
144,Deborah Wagner,IT,74415.55
145,Jordan Jones,Finance,102812.28
146,Rachel Ewing,Support,119467.15
147,Michelle Carter,HR,93603.87
148,Kimberly Mccarty,IT,132560.98
